統計区・町丁名,世帯数,人口,男,女,年,月
三十苅町,653.0,1518.0,731.0,787.0,2019,1
額乙丸町,619.0,1509.0,729.0,780.0,2019,1
大額町,108.0,246.0,121.0,125.0,2019,1
額谷町,67.0,189.0,89.0,100.0,2019,2
四十万町,807.0,2160.0,1067.0,1093.0,2019,2
三十苅町,650.0,1514.0,727.0,787.0,2019,2
額乙丸町,657.0,1546.0,740.0,806.0,2019,2
大額町,108.0,246.0,121.0,125.0,2019,2
額谷町,67.0,189.0,89.0,100.0,2019,3
四十万町,810.0,2164.0,1069.0,1095.0,2019,3
三十苅町,648.0,1505.0,722.0,783.0,2019,3
額乙丸町,624.0,1507.0,731.0,776.0,2019,3
大額町,110.0,251.0,123.0,128.0,2019,3
額谷町,68.0,188.0,87.0,101.0,2019,4
四十万町,811.0,2173.0,1072.0,1101.0,2019,4
三十苅町,648.0,1501.0,721.0,780.0,2019,4
額乙丸町,628.0,1509.0,721.0,788.0,2019,4
大額町,111.0,251.0,124.0,127.0,2019,4
額谷町,68.0,188.0,87.0,101.0,2019,5
四十万町,812.0,2174.0,1073.0,1101.0,2019,5
三十苅町,648.0,1503.0,721.0,782.0,2019,5
額乙丸町,603.0,1474.0,709.0,765.0,2019,5
大額町,111.0,251.0,124.0,127.0,2019,5
額谷町,68.0,188.0,87.0,101,2019,6
四十万町,808.0,2165.0,1069.0,1096,2019,6
三十苅町,649.0,1503.0,720.0,783,2019,6
額乙丸町,614.0,1485.0,714.0,771,2019,6
大額町,110.0,249.0,124.0,125,2019,6
額谷町,68.0,188.0,87.0,101.0,2019,7
四十万町,807.0,2166.0,1070.0,1096.0,2019,7
三十苅町,648.0,1500.0,718.0,782.0,2019,7
額乙丸町,603.0,1479.0,714.0,765.0,2019,7
大額町,110.0,249.0,124.0,125.0,2019,7
額谷町,67.0,187.0,86.0,101.0,2019,8
四十万町,806.0,2163.0,1072.0,1091.0,2019,8
三十苅町,645.0,1498.0,718.0,780.0,2019,8
額乙丸町,657.0,1531.0,749.0,782.0,2019,8
大額町,108.0,246.0,123.0,123.0,2019,8
額谷町,68.0,188.0,87.0,101.0,2019,9
四十万町,809.0,2165.0,1074.0,1091.0,2019,9
三十苅町,644.0,1497.0,717.0,780.0,2019,9
額乙丸町,653.0,1530.0,742.0,788.0,2019,9
大額町,108.0,246.0,123.0,123.0,2019,9
額谷町,68.0,188.0,87.0,101.0,2019,10
四十万町,807.0,2160.0,1071.0,1089.0,2019,10
三十苅町,647.0,1498.0,721.0,777.0,2019,10
額乙丸町,605.0,1483.0,718.0,765.0,2019,10
大額町,108.0,244.0,121.0,123.0,2019,10
